player,nationality,position,squad,age,value,height,foot,league,games_17,minutes_17,shots_total_17,goal_kicks_17,goals_17,assists_17,cards_yellow_17,cards_red_17,passes_17,corner_kicks_17,throw_ins_17,tackles_17,blocks_17,interceptions_17,clearances_17,touches_17,dribbles_17,offsides_17,errors_17,fouls_17,fouled_17,games_18,minutes_18,shots_total_18,goal_kicks_18,goals_18,assists_18,cards_yellow_18,cards_red_18,passes_18,corner_kicks_18,throw_ins_18,tackles_18,blocks_18,interceptions_18,clearances_18,touches_18,dribbles_18,offsides_18,errors_18,fouls_18,fouled_18,games_19,minutes_19,shots_total_19,goal_kicks_19,goals_19,assists_19,cards_yellow_19,cards_red_19,passes_19,corner_kicks_19,throw_ins_19,tackles_19,blocks_19,interceptions_19,clearances_19,touches_19,dribbles_19,offsides_19,errors_19,fouls_19,fouled_19
Mahdi Camara,fr FRA,MF,Saint-Ă‰tienne,21,1000000,178,right,Ligue 1,,,,,,,,,,,,,,,,,,,,,,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,0.0,0.0,1.0,0.0,12,901,7,0,0,0,2,1,463,0,0,40,24,13,10,584,14,0,0,16,14
Mahmoud Dahoud,de GER,MF,Dortmund,23,6000000,178,right,Bundesliga,23.0,1146.0,27.0,0.0,0.0,4.0,4.0,0.0,678.0,5.0,0.0,34.0,18.0,16.0,7.0,824.0,24.0,0.0,0.0,31.0,9.0,14.0,697.0,11.0,0.0,1.0,0.0,2.0,0.0,455.0,0.0,0.0,22.0,12.0,8.0,11.0,540.0,9.0,0.0,0.0,12.0,7.0,12,558,13,0,0,1,1,0,496,0,0,16,9,5,8,578,17,0,0,12,6
Makoto Hasebe,jp JPN,"DF,MF",Eint Frankfurt,35,80000,180,right,Bundesliga,24.0,2090.0,2.0,0.0,0.0,0.0,3.0,1.0,1155.0,1.0,2.0,33.0,48.0,16.0,72.0,1346.0,8.0,0.0,0.0,16.0,28.0,28.0,2520.0,2.0,0.0,0.0,0.0,4.0,0.0,1461.0,0.0,6.0,41.0,53.0,36.0,102.0,1693.0,4.0,1.0,3.0,18.0,31.0,23,1968,0,0,0,0,3,0,1374,0,9,35,56,20,72,1565,4,0,0,6,28
Malang Sarr,fr FRA,DF,Nice,20,16000000,182,left,Ligue 1,21.0,1322.0,9.0,0.0,0.0,0.0,1.0,0.0,1056.0,0.0,25.0,20.0,23.0,25.0,30.0,1179.0,6.0,0.0,0.0,11.0,15.0,35.0,2994.0,10.0,0.0,1.0,1.0,1.0,0.0,2161.0,0.0,95.0,52.0,61.0,51.0,118.0,2470.0,20.0,0.0,2.0,31.0,30.0,19,1454,4,0,1,0,2,0,1168,0,36,20,23,24,43,1303,5,0,1,8,10
Malick Thiaw,fi FIN,DF,Schalke 04,17,2000000,191,both,Bundesliga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,76,1,0,0,0,0,0,37,0,0,2,3,0,4,49,0,0,1,1,0
Mama Samba BaldĂ©,gw GNB,"FW,MF",Dijon,23,3500000,181,right,Ligue 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,1676,50,0,6,2,2,0,368,2,4,36,23,5,22,662,61,6,0,27,23
Mamadou DoucourĂ©,fr FRA,MF,M'Gladbach,21,45000,183,left,Bundesliga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0,0,0,0,9,0,0,0,0,0,0,9,0,0,0,0,1
Mamadou Fofana,ml MLI,"DF,MF",Metz,21,3000000,186,right,Ligue 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,1587,10,0,0,0,4,0,738,0,1,56,34,17,84,938,6,0,1,20,4
Mamadou Sakho,fr FRA,DF,Crystal Palace,29,9000000,187,left,Premier League,19.0,1600.0,3.0,0.0,1.0,2.0,1.0,0.0,737.0,0.0,0.0,25.0,27.0,28.0,82.0,902.0,4.0,0.0,2.0,3.0,9.0,27.0,2416.0,5.0,0.0,0.0,0.0,2.0,0.0,1285.0,0.0,3.0,28.0,45.0,23.0,153.0,1546.0,11.0,0.0,2.0,6.0,13.0,14,931,0,0,0,0,1,1,516,0,1,12,15,7,53,608,6,0,1,3,2
Mamoudou Karamoko,fr FRA,MF,Wolfsburg,20,20000,188,,Bundesliga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,0,0,0,0,0,0,7,0,0,0,0,0,0,8,1,0,0,0,0
