player,nationality,position,squad,age,value,height,foot,league,games_17,minutes_17,shots_total_17,goal_kicks_17,goals_17,assists_17,cards_yellow_17,cards_red_17,passes_17,corner_kicks_17,throw_ins_17,tackles_17,blocks_17,interceptions_17,clearances_17,touches_17,dribbles_17,offsides_17,errors_17,fouls_17,fouled_17,games_18,minutes_18,shots_total_18,goal_kicks_18,goals_18,assists_18,cards_yellow_18,cards_red_18,passes_18,corner_kicks_18,throw_ins_18,tackles_18,blocks_18,interceptions_18,clearances_18,touches_18,dribbles_18,offsides_18,errors_18,fouls_18,fouled_18,games_19,minutes_19,shots_total_19,goal_kicks_19,goals_19,assists_19,cards_yellow_19,cards_red_19,passes_19,corner_kicks_19,throw_ins_19,tackles_19,blocks_19,interceptions_19,clearances_19,touches_19,dribbles_19,offsides_19,errors_19,fouls_19,fouled_19
Aaron Connolly,ie IRL,FW,Brighton,19,4000000,175,right,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,1258,38,0,3,1,0,0,163,0,1,12,8,5,1,349,16,14,0,16,38
Aaron Cresswell,eng ENG,DF,West Ham,29,6000000,170,left,Premier League,36.0,3069.0,20.0,0.0,1.0,3.0,7.0,0.0,1703.0,63.0,176.0,36.0,50.0,40.0,78.0,1983.0,16.0,3.0,1.0,20.0,16.0,20.0,1589.0,11.0,0.0,0.0,1.0,1.0,0.0,1061.0,10.0,188.0,24.0,43.0,15.0,60.0,1246.0,13.0,1.0,1.0,2.0,12.0,31,2727,18,0,3,0,7,0,1681,19,325,48,64,15,92,1971,38,2,2,16,18
Aaron Lennon,eng ENG,MF,Burnley,32,2000000,165,right,Premier League,29.0,1911.0,14.0,0.0,0.0,2.0,2.0,0.0,508.0,0.0,12.0,35.0,43.0,19.0,17.0,728.0,41.0,1.0,0.0,21.0,20.0,16.0,1215.0,4.0,0.0,1.0,1.0,1.0,0.0,316.0,0.0,4.0,33.0,29.0,9.0,8.0,435.0,15.0,0.0,0.0,12.0,16.0,16,496,1,0,0,0,4,0,131,1,1,15,8,8,6,189,8,0,0,11,7
Aaron Leya Iseka,be BEL,FW,Toulouse,21,2000000,182,right,Ligue 1,,,,,,,,,,,,,,,,,,,,,,28.0,1444.0,30.0,0.0,4.0,0.0,2.0,1.0,267.0,0.0,1.0,3.0,7.0,1.0,10.0,423.0,24.0,7.0,0.0,23.0,14.0,22,777,25,0,2,0,2,0,183,0,1,5,6,2,7,300,13,6,0,20,11
Aaron Mooy,au AUS,"MF,FW",Brighton,28,9000000,179,right,Premier League,36.0,3067.0,29.0,0.0,4.0,3.0,4.0,0.0,2070.0,76.0,1.0,81.0,58.0,29.0,41.0,2434.0,28.0,2.0,0.0,26.0,17.0,29.0,2330.0,39.0,0.0,3.0,1.0,4.0,0.0,1427.0,75.0,7.0,66.0,50.0,20.0,24.0,1728.0,53.0,1.0,0.0,26.0,15.0,31,2085,33,0,2,2,3,1,1075,53,6,43,48,18,29,1359,51,0,0,13,11
Aaron Ramsdale,eng ENG,GK,Bournemouth,21,12000000,191,right,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,3330,0,289,0,1,0,0,1124,0,0,0,1,0,0,1245,0,0,2,0,3
Aaron Ramsey,wal WAL,MF,Juventus,28,28000000,182,both,Serie A,24.0,1846.0,54.0,0.0,7.0,8.0,0.0,0.0,1246.0,0.0,12.0,33.0,20.0,19.0,6.0,1488.0,31.0,0.0,0.0,28.0,33.0,28.0,1331.0,33.0,0.0,4.0,6.0,0.0,0.0,790.0,2.0,15.0,31.0,9.0,10.0,2.0,971.0,21.0,5.0,0.0,21.0,20.0,24,1051,27,0,3,1,2,0,746,3,7,28,21,9,7,904,23,2,0,22,18
Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,21,32000000,183,right,Premier League,7.0,627.0,0.0,0.0,0.0,0.0,1.0,0.0,276.0,0.0,56.0,25.0,36.0,15.0,25.0,394.0,11.0,0.0,0.0,2.0,3.0,35.0,3134.0,9.0,0.0,0.0,3.0,4.0,1.0,1537.0,0.0,336.0,134.0,103.0,76.0,153.0,2097.0,102.0,3.0,1.0,23.0,16.0,35,3070,9,0,0,4,8,0,2064,0,368,138,101,49,108,2560,91,1,0,22,19
AarĂłn Escandell,es ESP,GK,Granada,23,30000,185,right,La Liga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,270,0,25,0,0,0,0,128,0,0,0,0,0,0,133,0,0,0,0,0
AarĂłn MartĂ­n,es ESP,DF,Mainz 05,22,10000000,180,left,Bundesliga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,1792,9,0,0,0,2,0,912,57,171,21,38,14,43,1081,40,2,0,18,12
Abdallah N'dour,sn SEN,DF,Strasbourg,25,600,186,left,Ligue 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,373,0,0,0,0,2,1,209,0,28,6,8,4,9,246,3,0,0,5,5
Abdallahi Mahmoud,mr MTN,MF,AlavĂ©s,19,10000,187,,La Liga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,152,0,0,0,0,1,0,38,0,0,5,1,4,3,61,4,0,0,3,4
Abdelhamid Sabiri,de GER,MF,Paderborn 07,22,1000000,186,right,Bundesliga,5.0,220.0,6.0,0.0,0.0,1.0,1.0,0.0,88.0,0.0,0.0,4.0,3.0,1.0,1.0,121.0,3.0,1.0,0.0,4.0,4.0,2.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,2.0,1.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,24,1048,38,0,4,1,6,0,441,0,2,22,16,8,19,621,54,0,0,26,25
Abdou Diallo,fr FRA,DF,Paris S-G,23,28000000,187,left,Ligue 1,27.0,2415.0,13.0,0.0,2.0,1.0,5.0,0.0,1201.0,0.0,66.0,63.0,47.0,25.0,107.0,1496.0,47.0,5.0,0.0,59.0,9.0,,,,,,,,,,,,,,,,,,,,,,16,1201,5,0,0,1,4,0,1061,0,29,17,22,8,40,1169,21,0,0,24,7
Abdoul Kader Bamba,fr FRA,"FW,MF",Nantes,25,1000000,176,right,Ligue 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,1468,19,0,1,3,5,0,721,23,9,28,24,20,5,960,98,3,0,20,48
Abdoulaye Bamba,ci CIV,DF,Angers,29,2000000,182,right,Ligue 1,18.0,1533.0,4.0,0.0,0.0,0.0,2.0,0.0,810.0,0.0,161.0,20.0,26.0,10.0,30.0,941.0,17.0,2.0,0.0,19.0,19.0,30.0,2573.0,7.0,0.0,0.0,4.0,6.0,0.0,1276.0,0.0,286.0,47.0,47.0,31.0,79.0,1521.0,30.0,2.0,0.0,22.0,25.0,7,554,1,0,0,0,2,0,279,0,53,13,9,2,14,321,4,0,0,4,2
Abdoulaye DoucourĂ©,fr FRA,MF,Watford,26,20000000,183,right,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,3156,62,0,4,2,9,0,1658,1,0,70,59,22,45,2065,78,6,0,51,15
Abdoulaye TourĂ©,fr FRA,MF,Nantes,25,8000000,188,right,Ligue 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,2221,33,0,3,0,3,0,1339,0,2,36,39,19,32,1624,49,0,0,31,53
Abdul Majeed Waris,gh GHA,FW,Strasbourg,27,2500000,172,right,Ligue 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,371,7,0,2,1,1,0,89,0,1,9,3,4,0,157,20,1,0,8,20
AbdĂłn Prats,es ESP,"FW,MF",Mallorca,26,65000,181,left,La Liga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,279,9,0,0,0,1,0,73,0,1,2,0,0,0,114,5,0,0,7,2
Abou Ouattara,bf BFA,MF,Lille,19,10000,177,right,Ligue 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,0,0,0,0,0,0,3,0,0,0,1,0,1,6,0,0,0,0,1
Achraf Hakimi,ma MAR,"DF,FW",Dortmund,20,54000000,181,right,Bundesliga,9.0,758.0,5.0,0.0,2.0,1.0,0.0,0.0,480.0,0.0,43.0,16.0,17.0,14.0,9.0,569.0,30.0,1.0,0.0,4.0,6.0,21.0,1740.0,21.0,0.0,2.0,4.0,4.0,0.0,1581.0,0.0,196.0,36.0,32.0,12.0,40.0,1831.0,62.0,0.0,0.0,14.0,35.0,33,2715,38,0,5,10,5,0,2422,8,255,57,54,24,31,2826,117,2,1,24,50
Adam Bodzek,de GER,MF,DĂĽsseldorf,33,32500,184,right,Bundesliga,,,,,,,,,,,,,,,,,,,,,,21.0,1596.0,3.0,0.0,0.0,1.0,5.0,1.0,682.0,0.0,0.0,43.0,15.0,13.0,48.0,823.0,6.0,0.0,0.0,33.0,41.0,28,2015,9,0,0,0,10,0,709,0,2,40,46,21,47,899,6,0,0,32,32
Adam Idah,ie IRL,"FW,MF",Norwich City,18,2000000,190,right,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,228,6,0,0,0,0,0,48,0,1,4,6,0,1,88,3,1,0,2,4
Adam Lallana,eng ENG,"MF,FW",Liverpool,31,9000000,172,both,Premier League,12.0,308.0,11.0,0.0,0.0,0.0,1.0,0.0,222.0,1.0,1.0,1.0,4.0,5.0,1.0,274.0,10.0,1.0,0.0,4.0,5.0,13.0,468.0,5.0,0.0,0.0,0.0,1.0,0.0,304.0,5.0,1.0,16.0,16.0,4.0,4.0,378.0,13.0,0.0,0.0,4.0,11.0,15,382,5,0,1,1,1,0,270,0,1,20,13,6,3,333,6,1,0,7,8
Adam MaruĹˇiÄ‡,me MNE,DF,Lazio,26,5500000,185,right,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,942,11,0,2,1,3,0,398,0,70,15,21,8,12,497,18,0,0,8,11
Adam Masina,it ITA,DF,Watford,25,5000000,191,left,Premier League,34.0,2830.0,19.0,0.0,0.0,1.0,8.0,1.0,1677.0,1.0,265.0,100.0,67.0,30.0,101.0,2071.0,50.0,4.0,0.0,53.0,23.0,14.0,1004.0,3.0,0.0,0.0,1.0,5.0,0.0,565.0,16.0,98.0,26.0,27.0,10.0,34.0,692.0,11.0,1.0,0.0,17.0,10.0,26,1821,15,0,1,0,3,0,934,8,193,40,41,23,99,1186,18,2,2,26,12
Adam Ounas,dz ALG,"MF,FW",Nice,22,8000000,172,left,Ligue 1,7.0,96.0,5.0,0.0,0.0,0.0,0.0,0.0,55.0,1.0,0.0,4.0,2.0,0.0,2.0,79.0,8.0,0.0,0.0,0.0,1.0,18.0,538.0,20.0,0.0,3.0,0.0,0.0,0.0,291.0,2.0,2.0,6.0,7.0,9.0,0.0,380.0,35.0,0.0,0.0,4.0,10.0,16,1123,21,0,2,4,2,1,494,16,15,9,12,8,8,659,68,0,0,7,29
Adam Smith,eng ENG,DF,Bournemouth,28,7000000,174,right,Premier League,27.0,2071.0,12.0,0.0,1.0,3.0,6.0,0.0,1090.0,5.0,133.0,51.0,67.0,32.0,41.0,1393.0,39.0,1.0,0.0,23.0,39.0,25.0,2066.0,8.0,0.0,1.0,1.0,5.0,1.0,1072.0,6.0,174.0,49.0,56.0,21.0,67.0,1351.0,37.0,0.0,1.0,18.0,44.0,24,2055,4,0,0,1,7,0,1061,1,183,52,56,23,53,1326,52,2,0,25,40
Adam Webster,eng ENG,DF,Brighton,24,12000000,190,right,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,2668,16,0,3,1,4,0,1824,0,31,37,66,34,182,2175,14,0,3,13,19
Adama Soumaoro,fr FRA,DF,Lille,27,8000000,186,right,Ligue 1,14.0,1192.0,1.0,0.0,0.0,0.0,2.0,0.0,563.0,0.0,3.0,10.0,31.0,17.0,43.0,673.0,2.0,1.0,3.0,7.0,14.0,20.0,1723.0,7.0,0.0,0.0,1.0,6.0,1.0,926.0,0.0,0.0,16.0,36.0,13.0,79.0,1089.0,7.0,0.0,1.0,26.0,21.0,14,1052,6,0,2,0,2,0,657,0,2,9,23,6,69,773,2,1,0,9,0
Adama TraorĂ©,es ESP,"FW,MF",Wolves,23,25000000,178,right,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,3637,60,0,5,13,2,0,1447,36,59,47,42,9,31,2023,249,5,0,46,110
Ademola Lookman,eng ENG,"MF,FW",RB Leipzig,21,13000000,174,right,Bundesliga,18.0,733.0,16.0,0.0,5.0,3.0,1.0,0.0,284.0,5.0,3.0,6.0,9.0,6.0,3.0,393.0,40.0,1.0,0.0,17.0,17.0,21.0,618.0,12.0,0.0,0.0,2.0,0.0,0.0,273.0,7.0,4.0,15.0,11.0,8.0,2.0,391.0,40.0,2.0,0.0,8.0,22.0,11,309,10,0,0,0,0,0,152,3,7,8,3,2,0,211,16,0,0,8,4
Adil Aouchiche,fr FRA,MF,Paris S-G,17,5000000,181,right,Ligue 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,64,0,0,0,0,0,0,31,0,0,2,3,0,0,40,3,0,0,1,0
Adil Taoui,fr FRA,MF,Toulouse,17,25000,179,right,Ligue 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,25,1,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0
Admir Mehmedi,ch SUI,"MF,FW",Wolfsburg,28,8000000,183,right,Bundesliga,17.0,990.0,17.0,0.0,3.0,3.0,3.0,0.0,550.0,12.0,60.0,17.0,22.0,10.0,6.0,677.0,20.0,5.0,0.0,23.0,23.0,26.0,1692.0,35.0,0.0,6.0,5.0,1.0,0.0,787.0,46.0,23.0,50.0,30.0,11.0,6.0,1017.0,33.0,18.0,0.0,29.0,38.0,21,1200,23,0,2,2,0,0,574,19,12,14,16,2,3,711,13,9,1,25,25
Adnan Januzaj,be BEL,"FW,MF",Real Sociedad,24,9000000,186,left,La Liga,28.0,1566.0,58.0,0.0,3.0,5.0,4.0,0.0,560.0,32.0,8.0,16.0,15.0,8.0,5.0,882.0,95.0,6.0,0.0,26.0,60.0,20.0,1254.0,33.0,0.0,1.0,3.0,1.0,0.0,553.0,65.0,7.0,13.0,13.0,6.0,3.0,821.0,113.0,5.0,0.0,16.0,35.0,24,1167,25,0,3,3,3,0,496,27,5,9,10,7,4,703,65,2,1,25,39
Adri Embarba,es ESP,"MF,FW",Espanyol,27,7000000,173,right,La Liga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,1371,37,0,2,4,4,0,442,37,6,28,37,11,6,682,70,1,0,24,27
Adrian Mariappa,jm JAM,DF,Watford,32,1000000,179,right,Premier League,28.0,2210.0,8.0,0.0,0.0,0.0,4.0,0.0,1033.0,0.0,50.0,39.0,37.0,37.0,99.0,1259.0,7.0,0.0,3.0,32.0,16.0,26.0,1927.0,5.0,0.0,0.0,0.0,3.0,0.0,879.0,0.0,4.0,40.0,28.0,16.0,134.0,1115.0,3.0,1.0,2.0,19.0,4.0,20,1513,3,0,0,0,6,1,585,0,127,25,35,7,93,762,3,2,1,20,7
Adrien Hunou,fr FRA,"FW,MF",Rennes,25,4000000,179,right,Ligue 1,24.0,1456.0,29.0,0.0,5.0,0.0,1.0,0.0,490.0,2.0,14.0,19.0,27.0,7.0,5.0,664.0,25.0,19.0,0.0,19.0,29.0,19.0,1240.0,29.0,0.0,8.0,1.0,1.0,0.0,302.0,0.0,8.0,14.0,12.0,4.0,11.0,453.0,13.0,13.0,0.0,13.0,23.0,23,1210,29,0,8,1,2,0,317,0,3,23,21,2,7,509,18,4,0,18,34
Adrien Rabiot,fr FRA,MF,Juventus,24,25000000,188,left,Serie A,33.0,2364.0,25.0,0.0,1.0,4.0,2.0,0.0,2168.0,0.0,9.0,51.0,30.0,30.0,13.0,2425.0,35.0,0.0,0.0,38.0,21.0,14.0,1063.0,7.0,0.0,2.0,1.0,3.0,0.0,1048.0,1.0,5.0,35.0,16.0,9.0,17.0,1160.0,31.0,0.0,1.0,23.0,8.0,28,1912,19,0,1,1,7,1,1141,0,13,56,45,26,17,1397,48,0,0,49,28
Adrien Silva,pt POR,MF,Monaco,30,8000000,175,right,Ligue 1,12.0,761.0,11.0,0.0,0.0,1.0,3.0,0.0,418.0,0.0,0.0,22.0,12.0,10.0,0.0,512.0,11.0,0.0,0.0,9.0,8.0,17.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,0.0,2.0,4.0,0.0,2.0,2.0,180.0,0.0,0.0,0.0,2.0,4.0,22,1221,14,0,0,2,7,0,835,13,2,38,26,12,17,989,31,0,2,22,22
Adrien Tameze,cm CMR,MF,Nice,25,4500000,180,right,Ligue 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,730,5,0,1,0,1,0,438,0,1,14,14,6,6,517,20,0,2,16,8
Adrien Thomasson,fr FRA,MF,Strasbourg,25,6000000,177,left,Ligue 1,36.0,2582.0,60.0,0.0,5.0,3.0,4.0,0.0,1316.0,2.0,13.0,65.0,60.0,32.0,9.0,1663.0,34.0,7.0,0.0,26.0,33.0,34.0,2479.0,53.0,0.0,5.0,8.0,5.0,1.0,1192.0,17.0,10.0,45.0,32.0,11.0,8.0,1506.0,46.0,6.0,0.0,27.0,42.0,25,2072,50,0,8,1,4,0,950,4,13,33,24,7,6,1234,50,8,0,29,38
AdriĂˇn,es ESP,GK,Liverpool,32,4000000,190,right,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,875,0,68,0,0,1,0,314,0,0,0,0,0,0,338,0,0,2,0,1
AdriĂˇn LĂłpez,es ESP,"FW,MF",Osasuna,31,1000000,183,right,La Liga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,1443,18,0,2,0,0,0,507,0,0,10,10,6,9,657,30,6,0,9,6
AdriĂˇn MarĂ­n,es ESP,DF,AlavĂ©s,22,65000,181,left,La Liga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,852,3,0,0,0,1,0,355,2,87,19,23,10,33,466,22,0,0,25,4
AdriĂˇn Ramos,co COL,FW,Granada,33,80000,185,right,La Liga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,226,6,0,0,0,0,0,75,0,0,3,4,0,2,107,1,3,0,5,6
AgustĂ­n Rogel,uy URU,DF,Toulouse,21,1000000,190,right,Ligue 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,858,3,0,0,0,0,0,338,0,1,11,21,1,50,428,1,0,1,5,3
Ahmed Elmohamady,eg EGY,DF,Aston Villa,31,2000000,182,right,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,1031,5,0,1,1,1,0,633,0,94,25,11,6,29,718,9,2,0,13,5
Ahmed Kutucu,tr TUR,"FW,MF",Schalke 04,19,5000000,181,right,Bundesliga,,,,,,,,,,,,,,,,,,,,,,13.0,425.0,11.0,0.0,2.0,0.0,0.0,0.0,101.0,0.0,0.0,5.0,1.0,0.0,0.0,157.0,15.0,2.0,0.0,10.0,9.0,25,679,15,0,3,2,2,0,177,0,1,13,8,4,6,286,33,4,0,11,5
Aihen MuĂ±oz,es ESP,DF,Real Sociedad,21,4000000,175,left,La Liga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,981,0,0,0,0,1,0,656,0,133,24,19,2,27,754,13,0,0,7,9
Aimar Oroz,es ESP,FW,Osasuna,17,10000,177,right,La Liga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11,0,0,0,0,0,0,5,0,0,0,1,0,0,7,0,0,0,2,0
Ainsley Maitland-Niles,eng ENG,DF,Arsenal,21,14000000,180,right,Premier League,15.0,914.0,5.0,0.0,0.0,0.0,1.0,0.0,600.0,0.0,58.0,27.0,27.0,17.0,20.0,737.0,24.0,0.0,0.0,10.0,5.0,16.0,987.0,6.0,0.0,1.0,1.0,2.0,1.0,571.0,0.0,103.0,35.0,29.0,14.0,18.0,721.0,26.0,1.0,0.0,8.0,13.0,20,1386,4,0,0,2,6,1,999,0,165,41,29,17,41,1179,44,0,0,15,13
Aitor FernĂˇndez,es ESP,GK,Levante,28,8000000,182,right,La Liga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,3240,0,337,0,0,2,0,1118,0,0,0,0,0,5,1258,0,0,0,1,4
Aitor Ruibal,es ESP,"DF,FW",LeganĂ©s,23,95000,176,right,La Liga,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,25,1220,16,0,0,0,4,0,414,1,25,30,18,11,15,588,57,6,0,28,13
Akaki Gogia,de GER,"MF,FW",Union Berlin,27,1000000,178,both,Bundesliga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,121,1,0,0,0,0,0,43,0,3,2,4,1,3,67,9,0,0,2,3
Akin Famewo,eng ENG,MF,Norwich City,20,2500,188,left,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaixys Romao,tg TOG,MF,Reims,35,32500,180,right,Ligue 1,,,,,,,,,,,,,,,,,,,,,,36.0,3160.0,16.0,0.0,0.0,3.0,8.0,1.0,1431.0,0.0,3.0,116.0,60.0,42.0,87.0,1831.0,49.0,0.0,0.0,87.0,81.0,22,1781,12,0,0,0,11,2,979,0,4,59,22,18,60,1204,22,1,2,47,61
Alan Empereur,br BRA,DF,Hellas Verona,25,40000,186,left,Serie A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,855,2,0,0,0,3,0,467,0,4,20,23,15,44,572,3,0,0,18,9
Alassane Plea,fr FRA,FW,M'Gladbach,26,35000000,181,right,Bundesliga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,2143,77,0,10,10,4,2,718,6,4,19,26,7,6,1031,77,16,0,24,35
Alban Lafont,fr FRA,GK,Nantes,20,11000000,196,right,Ligue 1,38.0,3420.0,1.0,206.0,0.0,0.0,4.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,5.0,1202.0,1.0,0.0,2.0,3.0,7.0,34.0,3015.0,0.0,255.0,0.0,0.0,2.0,0.0,1008.0,0.0,0.0,0.0,0.0,0.0,1.0,1098.0,2.0,0.0,2.0,0.0,8.0,27,2430,0,187,0,0,3,0,884,0,0,0,0,0,1,957,0,0,0,3,2
Albert Lottin,fr FRA,MF,Bordeaux,17,45000,181,right,Ligue 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,45,0,0,0,0,0,0,18,0,0,3,0,3,2,28,3,0,0,0,0
Alberto Cerri,it ITA,FW,SPAL,23,3000000,194,right,Serie A,,,,,,,,,,,,,,,,,,,,,,15.0,670.0,21.0,0.0,0.0,0.0,3.0,0.0,216.0,0.0,0.0,7.0,10.0,1.0,5.0,315.0,9.0,3.0,0.0,23.0,10.0,19,664,17,0,2,0,2,0,247,0,2,7,1,1,6,324,15,4,0,12,10
Alberto Grassi,it ITA,MF,Parma,24,5000000,183,right,Serie A,28.0,2253.0,39.0,0.0,3.0,0.0,3.0,0.0,809.0,0.0,4.0,43.0,43.0,34.0,40.0,1129.0,31.0,3.0,1.0,23.0,72.0,7.0,462.0,5.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,0.0,16.0,13.0,7.0,9.0,178.0,10.0,0.0,0.0,9.0,11.0,16,641,8,0,1,1,6,0,256,1,1,10,16,16,9,340,9,1,0,7,9
Alberto Moreno,es ESP,DF,Villarreal,27,6000000,171,left,La Liga,16.0,1266.0,12.0,0.0,0.0,0.0,1.0,0.0,945.0,3.0,112.0,35.0,24.0,17.0,22.0,1067.0,9.0,0.0,0.0,8.0,19.0,2.0,154.0,1.0,0.0,0.0,0.0,0.0,0.0,126.0,0.0,13.0,4.0,2.0,0.0,1.0,139.0,5.0,0.0,0.0,1.0,1.0,18,1471,9,0,0,0,6,0,981,0,180,33,34,11,49,1159,23,0,0,20,7
Alberto Paloschi,it ITA,FW,SPAL,29,1000000,183,right,Serie A,36.0,2184.0,28.0,0.0,7.0,0.0,2.0,0.0,407.0,0.0,0.0,11.0,9.0,5.0,9.0,594.0,25.0,25.0,0.0,38.0,24.0,23.0,863.0,10.0,0.0,2.0,0.0,3.0,0.0,162.0,0.0,0.0,13.0,7.0,2.0,0.0,253.0,10.0,8.0,0.0,17.0,11.0,17,642,13,0,0,0,0,0,106,0,0,1,5,2,4,182,10,8,0,11,10
Albian Ajeti,ch SUI,"MF,FW",West Ham,22,4000000,183,right,Premier League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,139,3,0,0,0,0,0,18,0,0,1,0,1,0,33,0,2,0,6,0
Albin Ekdal,se SWE,MF,Sampdoria,30,3000000,186,right,Serie A,19.0,1108.0,8.0,0.0,0.0,1.0,3.0,0.0,560.0,0.0,1.0,31.0,17.0,13.0,26.0,692.0,19.0,2.0,0.0,14.0,33.0,32.0,2646.0,15.0,0.0,0.0,0.0,6.0,0.0,1673.0,0.0,1.0,56.0,47.0,26.0,64.0,1981.0,44.0,3.0,1.0,47.0,68.0,32,2385,17,0,0,2,8,0,1161,0,7,58,48,32,52,1454,33,0,1,43,56
Aleix Febas,es ESP,MF,Mallorca,23,2000000,172,right,La Liga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,1690,8,0,0,3,4,0,691,0,0,40,16,19,3,906,48,0,0,19,48
Aleix Vidal,es ESP,MF,AlavĂ©s,29,3000000,177,right,La Liga,15.0,468.0,8.0,0.0,1.0,1.0,0.0,0.0,272.0,2.0,8.0,7.0,10.0,6.0,2.0,336.0,9.0,2.0,0.0,5.0,12.0,11.0,528.0,8.0,0.0,0.0,0.0,3.0,0.0,321.0,3.0,44.0,17.0,5.0,4.0,10.0,392.0,15.0,1.0,0.0,10.0,7.0,29,2165,22,0,2,4,6,0,848,45,24,23,36,14,14,1078,50,3,0,18,47
Alejandro Pozo Pozo,es ESP,"FW,MF",Sevilla,20,5000000,174,right,La Liga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,1535,6,0,1,2,0,0,870,0,149,41,31,18,32,1036,31,1,2,21,17
Aleksandar DragoviÄ‡,at AUT,DF,Leverkusen,28,5200000,186,right,Bundesliga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1029,2,0,0,0,7,1,936,0,35,22,24,7,59,1051,1,0,0,17,6
Aleksandar Kolarov,rs SRB,DF,Roma,33,6000000,187,left,Serie A,35.0,3060.0,64.0,0.0,2.0,6.0,3.0,0.0,2578.0,103.0,288.0,64.0,59.0,34.0,60.0,2992.0,91.0,3.0,2.0,28.0,40.0,33.0,2906.0,37.0,0.0,8.0,2.0,7.0,1.0,2088.0,50.0,264.0,45.0,45.0,34.0,74.0,2401.0,63.0,1.0,1.0,28.0,39.0,32,2732,69,0,7,3,6,0,1836,70,179,41,36,18,71,2129,31,3,1,29,30
